Age,Rate
14,0.233926488600957
15,1.04001241411644
16,3.55135034648102
17,10.2354273416043
18,17.5415310453425
19,28.8500129848667
20,38.7388256114716
21,45.4033728543922
22,54.4476020420994
23,60.0293767623377
24,68.5550223058048
25,77.0515448265391
26,86.0753320876677
27,98.0556601080666
28,104.818597246084
29,110.359518000669
30,113.1984791793
31,115.957704293105
32,114.020225618613
33,106.901325403133
34,98.579852804486
35,88.8188712490701
36,76.9221072906084
37,64.1970832326162
38,51.6261961974622
39,41.1118216648463
40,30.0383058085169
41,20.658249508874
42,13.1029307081487
43,7.51816619531535
44,4.25425685725876
45,5.8794036284177
